CUSTOMER_ID,AGE,GENDER,INCOME_BRACKET,EMPLOYMENT_STATUS,CITY,CREDIT_SCORE,LOAN_HISTORY,CREDIT_UTILIZATION,SAVINGS_ACCOUNT,CREDIT_CARD,LOAN_TYPE,LOAN_AMOUNT,INSURANCE,FD_INVESTMENT,NET_BANKING_USAGE,MOBILE_APP_USAGE,COMPLAINTS_RAISED,RESPONSE_TO_OFFERS,CHURN_FLAG,AVG_MONTHLY_INCOME,AVG_MONTHLY_EXPENSE,AVG_RETAIL_SPEND,AVG_TRAVEL_SPEND,AVG_BILLS_SPEND,DELINQUENCY_COUNT_12M,TOTAL_OVERDUE_DAYS_12M,OVER_BUDGET_RATIO,DEFAULT_FLAG,CREDITSCORE_BAND
CUST0011,31,Female,6-10 LPA,Unemployed,Bengaluru,632,No Loans,34.41,1,1,Personal Loan,800921,1,0,12,18,1,Ignored,0,25096.0525,18325.68333333,6781.49,3332.01333333,8212.17916667,2,70,0.0,0,580-650
CUST0012,44,Female,3-6 LPA,Self-Employed,Bengaluru,700,3-5 Loans,6.66,1,0,,0,1,0,11,17,0,Accepted,0,32631.50666667,21916.5375,7338.925,3629.44416667,10948.16916667,1,5,0.0,0,700-750
CUST0013,56,Male,6-10 LPA,Student,Pune,585,No Loans,38.14,1,1,,0,0,1712235,3,16,3,Ignored,0,33981.9025,27175.86666667,8706.56833333,4644.37333333,13824.92333333,1,5,0.0,0,580-650
CUST0014,60,Female,<3 LPA,Salaried,Bengaluru,708,1-2 Loans,23.38,1,1,Auto Loan,1929437,0,0,17,17,1,Accepted,0,19583.525,13287.98333333,4022.6175,1821.19833333,7444.1675,0,0,0.0,0,700-750
CUST0015,44,Male,15-25 LPA,Self-Employed,Pune,660,No Loans,48.45,1,1,Home Loan,3485183,0,1338672,11,19,2,Ignored,1,195943.33666667,151496.47083333,56420.06166667,28851.28666667,66225.1225,2,25,0.0,0,650-700
CUST0016,23,Other,15-25 LPA,Salaried,Mumbai,759,No Loans,25.6,1,0,,0,0,0,14,18,0,Clicked,1,146113.05416667,100937.73166667,29120.86,14625.31916667,57191.555,0,0,0.0,0,750+
CUST0017,42,Female,3-6 LPA,Student,Mumbai,720,1-2 Loans,19.92,1,1,Personal Loan,864052,0,0,7,14,3,Ignored,0,17268.19,11751.58416667,4314.755,1737.11,5699.71833333,1,20,0.0,0,700-750
CUST0018,22,Male,25+ LPA,Salaried,Ahmedabad,745,6+ Loans,22.52,1,0,,0,0,789030,7,21,0,Accepted,0,279883.92666667,196531.47583333,58255.51333333,32092.37416667,106183.58916667,1,45,0.0,0,700-750
CUST0019,44,Female,15-25 LPA,Self-Employed,Delhi,634,3-5 Loans,16.11,1,1,,0,0,0,7,15,0,Ignored,0,215566.41416667,156046.47166667,54469.25583333,23513.02083333,78064.1925,2,40,0.0,1,580-650
CUST0020,64,Female,10-15 LPA,Student,Chennai,742,No Loans,23.33,1,1,Home Loan,3787495,0,672253,14,20,0,Ignored,1,51546.84083333,33663.9975,12287.085,4813.0375,16563.87416667,3,120,0.0,0,700-750
CUST0021,50,Female,<3 LPA,Salaried,Chennai,766,No Loans,8.19,1,1,Personal Loan,724141,0,0,14,16,1,Ignored,0,24234.725,16709.39166667,6396.895,2279.67416667,8032.82,1,10,0.0,0,750+
CUST0022,58,Female,6-10 LPA,Salaried,Chennai,677,3-5 Loans,48.33,1,1,Home Loan,7990647,0,0,7,17,0,Accepted,1,74672.20666667,54870.3,20293.92416667,9066.13583333,25510.23916667,1,45,0.0,0,650-700
CUST0023,22,Male,6-10 LPA,Self-Employed,Ahmedabad,635,1-2 Loans,39.94,1,1,,0,0,1076433,6,16,0,Clicked,0,67415.86666667,50687.91083333,18393.74166667,7019.62166667,25274.545,1,45,0.0,0,580-650
CUST0024,41,Female,3-6 LPA,Salaried,Pune,636,No Loans,62.37,1,1,Personal Loan,462641,0,0,10,23,0,Clicked,0,30682.99833333,22852.95833333,8074.205,3696.47583333,11082.27666667,2,25,0.0,0,580-650
CUST0025,53,Female,<3 LPA,Salaried,Ahmedabad,754,3-5 Loans,40.43,1,1,Auto Loan,561597,1,0,10,21,0,Ignored,1,23367.85333333,16529.03166667,5712.365,2282.64166667,8534.02583333,0,0,0.0,1,750+
CUST0026,32,Male,10-15 LPA,Salaried,Kolkata,841,3-5 Loans,1.9,1,1,,0,1,0,11,19,0,Accepted,0,118004.50416667,77397.825,26182.805,12332.61333333,38882.405,0,0,0.0,1,750+
CUST0027,42,Female,<3 LPA,Salaried,Kolkata,621,6+ Loans,29.35,1,1,,0,0,0,10,15,0,Ignored,0,17667.37083333,13359.16083333,4474.185,1994.10333333,6881.20833333,1,15,0.083333,1,580-650
CUST0028,64,Male,6-10 LPA,Student,Delhi,616,6+ Loans,33.58,1,1,,0,0,0,11,20,0,Accepted,0,36004.18833333,26476.44833333,8692.96666667,3534.73,14248.74916667,0,0,0.0,0,580-650
CUST0029,45,Male,25+ LPA,Self-Employed,Kolkata,735,3-5 Loans,6.16,1,1,Personal Loan,532159,1,1959366,11,20,0,Clicked,1,332275.95,215627.49666667,78642.8325,32489.86166667,104494.8025,1,90,0.0,1,700-750
CUST0030,69,Female,15-25 LPA,Salaried,Chennai,634,No Loans,26.87,1,1,Home Loan,3108726,0,190572,10,28,0,Accepted,0,197601.34333333,150271.84416667,50846.45,17878.78916667,81546.60583333,2,20,0.0,0,580-650
CUST0031,47,Female,3-6 LPA,Salaried,Chennai,741,No Loans,9.51,1,1,,0,1,1289493,11,12,0,Clicked,0,43204.10666667,29249.5825,12090.86416667,5216.86916667,11941.84583333,1,30,0.0,0,700-750
CUST0032,62,Male,15-25 LPA,Salaried,Ahmedabad,707,1-2 Loans,17.97,1,0,Home Loan,7631433,0,881948,8,28,0,Clicked,0,195615.5025,126733.76833333,46679.14,19116.28333333,60938.345,1,5,0.0,0,700-750
CUST0033,48,Female,<3 LPA,Salaried,Bengaluru,678,1-2 Loans,45.69,1,0,,0,0,0,13,23,1,Ignored,0,23820.4925,16414.46,6001.465,2436.985,7976.01,1,90,0.0,0,650-700
CUST0034,36,Male,<3 LPA,Salaried,Kolkata,706,1-2 Loans,13.88,1,0,Personal Loan,502347,0,340613,8,32,1,Accepted,0,16812.81916667,11372.7125,4201.38916667,1854.65166667,5316.6725,0,0,0.0,0,700-750
CUST0035,35,Male,6-10 LPA,Salaried,Ahmedabad,702,1-2 Loans,33.06,1,0,,0,1,0,11,14,0,Clicked,0,53141.85583333,34642.16833333,11772.53083333,4287.57333333,18582.06333333,0,0,0.0,0,700-750
CUST0036,67,Male,3-6 LPA,Salaried,Mumbai,669,1-2 Loans,3.49,1,1,,0,0,0,5,16,0,Ignored,0,26936.76916667,18790.58666667,5906.69166667,2879.70833333,10004.18583333,2,40,0.0,0,650-700
CUST0037,64,Male,3-6 LPA,Self-Employed,Mumbai,574,1-2 Loans,53.39,1,1,,0,0,0,5,25,0,Ignored,0,53224.1375,43350.50916667,14510.72,7241.46833333,21598.32166667,0,0,0.0,0,<580
CUST0038,23,Male,6-10 LPA,Salaried,Bengaluru,690,No Loans,28.57,1,0,Personal Loan,662832,1,1585197,14,22,0,Clicked,0,78659.5525,54134.58,20370.7375,5552.7175,28211.12416667,1,20,0.0,0,650-700
CUST0039,57,Female,3-6 LPA,Self-Employed,Bengaluru,774,1-2 Loans,19.32,1,1,,0,0,1615516,7,19,0,Ignored,0,34419.9,22141.43,7990.70333333,4021.50833333,10129.21833333,3,35,0.0,0,750+
CUST0040,27,Female,3-6 LPA,Self-Employed,Bengaluru,583,1-2 Loans,32.79,1,1,,0,0,0,6,23,2,Ignored,0,49771.8125,37975.47,14191.4875,6475.20916667,17308.77333333,0,0,0.0,0,580-650
CUST0041,41,Male,6-10 LPA,Self-Employed,Ahmedabad,622,3-5 Loans,62.24,1,1,,0,1,0,8,23,0,Ignored,0,64836.455,50713.15666667,17102.21333333,8732.51666667,24878.42583333,3,65,0.0,1,580-650
CUST0042,29,Female,10-15 LPA,Self-Employed,Mumbai,705,No Loans,16.58,1,1,Personal Loan,237709,0,0,10,21,2,Clicked,0,118141.7675,75105.17583333,23635.4975,8603.15416667,42866.5225,0,0,0.0,0,700-750
CUST0043,59,Female,6-10 LPA,Salaried,Chennai,682,1-2 Loans,11.64,1,1,Home Loan,3111879,0,0,8,23,2,Clicked,0,52667.5725,34773.8325,12648.16083333,5274.17666667,16851.4975,1,30,0.0,0,650-700
CUST0044,38,Male,3-6 LPA,Student,Bengaluru,704,3-5 Loans,36.67,1,1,Home Loan,8414328,0,1838170,11,23,2,Ignored,0,16933.8475,11111.8075,3916.82666667,1356.73666667,5838.24666667,1,60,0.0,1,700-750
CUST0045,24,Female,6-10 LPA,Self-Employed,Delhi,638,1-2 Loans,17.17,1,1,Home Loan,1173576,1,0,5,21,1,Ignored,0,57358.15166667,40272.74833333,14436.16083333,4478.87583333,21357.71083333,1,20,0.0,0,580-650
CUST0046,45,Other,3-6 LPA,Salaried,Pune,749,No Loans,19.8,1,0,,0,1,0,13,26,0,Accepted,0,32847.12333333,21755.32666667,7385.5325,3588.7425,10781.05166667,1,45,0.0,0,700-750
CUST0047,34,Male,<3 LPA,Unemployed,Ahmedabad,682,1-2 Loans,51.22,1,1,Personal Loan,407347,0,0,12,21,0,Ignored,0,8033.125,5717.82833333,2384.62333333,678.74666667,2654.45666667,1,15,0.0,0,650-700
CUST0048,29,Male,10-15 LPA,Self-Employed,Bengaluru,721,1-2 Loans,19.02,1,0,,0,0,0,11,24,0,Ignored,0,133644.53,90133.475,30268.98,10398.55833333,49465.93583333,1,20,0.0,0,700-750
CUST0049,46,Female,3-6 LPA,Salaried,Pune,699,6+ Loans,36.05,1,1,,0,0,0,7,25,0,Accepted,0,30094.13833333,21503.87583333,7610.7425,2887.53083333,11005.60333333,1,30,0.0,0,650-700
CUST0050,22,Female,3-6 LPA,Salaried,Hyderabad,690,No Loans,41.21,1,1,Personal Loan,247625,0,0,8,19,1,Clicked,0,37470.05833333,27038.4225,10382.71833333,4426.375,12229.33083333,2,50,0.0,0,650-700
CUST0051,40,Male,10-15 LPA,Salaried,Bengaluru,717,3-5 Loans,26.86,1,1,,0,1,0,10,28,0,Ignored,0,128908.40166667,88431.15916667,30137.7425,11716.28583333,46577.1325,0,0,0.0,0,700-750
CUST0052,48,Female,6-10 LPA,Student,Mumbai,691,No Loans,1.4,1,1,Personal Loan,527323,1,0,10,25,2,Ignored,1,25644.50416667,16828.51416667,5611.335,1352.38166667,9862.88666667,0,0,0.0,0,650-700
CUST0053,67,Female,6-10 LPA,Self-Employed,Kolkata,608,1-2 Loans,42.39,1,0,,0,0,0,16,24,0,Ignored,0,75341.87333333,55411.4625,15846.60333333,9770.6675,29794.1925,2,10,0.0,0,580-650
CUST0054,27,Female,3-6 LPA,Student,Bengaluru,745,1-2 Loans,19.51,1,0,,0,1,0,11,16,1,Accepted,0,24447.60333333,15951.47833333,6155.82666667,2172.38916667,7623.26333333,1,20,0.0,0,700-750
CUST0055,64,Female,3-6 LPA,Self-Employed,Ahmedabad,729,1-2 Loans,65.87,1,1,Personal Loan,453331,1,0,7,24,0,Accepted,1,31755.58333333,23059.205,7375.9775,3672.84166667,12010.38666667,0,0,0.0,0,700-750
CUST0056,28,Female,3-6 LPA,Salaried,Kolkata,553,1-2 Loans,33.27,1,1,,0,1,0,15,25,0,Clicked,0,26221.6025,20969.3725,7521.48833333,3286.8425,10161.0425,0,0,0.0,0,<580
CUST0057,67,Male,3-6 LPA,Salaried,Hyderabad,640,No Loans,19.53,1,0,,0,1,55203,8,21,1,Accepted,0,45240.56166667,32648.19333333,12178.85083333,5243.2575,15226.08416667,1,10,0.0,0,580-650
CUST0058,55,Male,10-15 LPA,Self-Employed,Delhi,742,1-2 Loans,0.59,1,0,,0,1,0,8,24,0,Ignored,0,124312.86916667,75307.03166667,29558.61333333,12764.61583333,32983.79916667,3,75,0.0,0,700-750
CUST0059,34,Female,15-25 LPA,Self-Employed,Kolkata,570,1-2 Loans,9.18,1,0,Auto Loan,1747849,0,0,9,22,0,Ignored,0,169937.34833333,129381.35333333,42116.2275,17757.43666667,69507.69,0,0,0.0,1,<580
CUST0060,37,Female,10-15 LPA,Retired,Pune,736,1-2 Loans,43.31,1,1,,0,0,0,4,19,0,Accepted,0,51597.095,38131.99333333,14238.0425,5609.37416667,18284.575,1,30,0.0,0,700-750
CUST0061,56,Male,10-15 LPA,Salaried,Chennai,671,3-5 Loans,17.01,1,1,,0,0,0,12,15,0,Accepted,0,105525.19666667,65459.19916667,19538.76833333,10697.21083333,35223.22166667,3,80,0.0,0,650-700
CUST0062,60,Female,6-10 LPA,Salaried,Bengaluru,760,1-2 Loans,12.53,1,1,,0,1,1060209,12,18,0,Ignored,1,81620.54,55857.07916667,21411.41833333,7349.05583333,27096.60583333,0,0,0.0,0,750+
CUST0063,24,Female,10-15 LPA,Self-Employed,Hyderabad,679,1-2 Loans,12.23,1,1,Personal Loan,816824,0,846652,10,25,0,Ignored,0,133363.77416667,88607.07083333,32980.0075,14108.20083333,41518.8625,1,45,0.0,1,650-700
CUST0064,22,Male,3-6 LPA,Self-Employed,Hyderabad,636,No Loans,37.08,1,1,,0,0,0,9,13,3,Ignored,1,53108.25166667,38504.525,13452.6975,6064.70166667,18987.12416667,0,0,0.0,0,580-650
CUST0065,26,Female,6-10 LPA,Self-Employed,Kolkata,698,1-2 Loans,19.82,1,0,,0,1,0,8,22,0,Ignored,0,77001.26583333,52283.8625,19449.81916667,9690.39333333,23143.65083333,0,0,0.0,0,650-700
CUST0066,62,Female,6-10 LPA,Self-Employed,Delhi,678,3-5 Loans,17.0,1,1,,0,0,0,12,14,0,Clicked,0,57254.155,41078.76916667,13313.8025,6342.47083333,21422.49666667,1,45,0.0,1,650-700
CUST0067,24,Female,3-6 LPA,Salaried,Mumbai,631,1-2 Loans,12.35,1,1,,0,1,1918569,11,17,0,Clicked,0,37081.0775,27610.24583333,11121.66166667,4466.31916667,12022.265,1,15,0.0,1,580-650
CUST0068,49,Female,3-6 LPA,Self-Employed,Bengaluru,813,3-5 Loans,61.74,1,1,Personal Loan,824608,1,0,10,23,0,Ignored,0,45624.89583333,34513.97916667,12966.86083333,4770.68333333,16776.4325,3,150,0.0,0,750+
CUST0069,38,Male,25+ LPA,Self-Employed,Hyderabad,621,1-2 Loans,12.09,1,1,Personal Loan,95318,0,0,6,17,0,Ignored,0,302253.34083333,211304.11666667,72904.92166667,25516.71083333,112882.4825,3,20,0.0,0,580-650
CUST0070,46,Female,3-6 LPA,Student,Delhi,545,3-5 Loans,27.79,1,0,,0,0,0,11,22,0,Ignored,0,23808.72333333,17728.49583333,6287.6175,2637.25083333,8803.6275,2,90,0.0,0,<580
CUST0071,64,Male,<3 LPA,Unemployed,Chennai,774,No Loans,49.45,1,1,Auto Loan,1937970,0,851965,6,22,0,Clicked,0,8698.44583333,5927.53,2043.90583333,926.68583333,2956.94,1,30,0.0,0,750+
CUST0072,54,Male,6-10 LPA,Salaried,Hyderabad,644,3-5 Loans,63.62,1,1,,0,0,0,8,23,0,Clicked,0,68927.65,52557.78083333,19202.22666667,8805.36666667,24550.19,3,55,0.0,0,580-650
CUST0073,30,Female,10-15 LPA,Salaried,Delhi,662,1-2 Loans,44.28,1,1,Auto Loan,260146,0,1551930,6,23,0,Accepted,0,114629.3775,81976.985,26011.435,13292.285,42673.2625,2,20,0.0,1,650-700
CUST0074,56,Male,6-10 LPA,Retired,Ahmedabad,658,1-2 Loans,8.69,1,1,,0,0,0,11,21,0,Accepted,0,33333.35583333,22806.45083333,8569.56333333,3392.80083333,10844.08666667,0,0,0.0,0,650-700
CUST0075,34,Male,10-15 LPA,Salaried,Mumbai,645,1-2 Loans,37.75,1,0,Personal Loan,191102,0,0,13,27,3,Ignored,0,113483.085,82598.70666667,30224.115,14865.72333333,37508.86916667,1,5,0.0,0,580-650
CUST0076,51,Female,3-6 LPA,Student,Mumbai,634,1-2 Loans,50.26,1,1,Personal Loan,200307,0,0,9,24,1,Ignored,0,19898.13166667,14602.9675,5095.65166667,2390.60416667,7116.71166667,3,35,0.0,0,580-650
CUST0077,68,Male,6-10 LPA,Salaried,Hyderabad,620,6+ Loans,21.64,1,0,Home Loan,4708737,0,0,8,18,1,Ignored,0,61614.25083333,44409.7875,16273.7625,4633.5125,23502.51416667,0,0,0.0,0,580-650
CUST0078,35,Male,3-6 LPA,Self-Employed,Pune,683,No Loans,28.12,1,0,Personal Loan,961790,1,0,8,18,0,Clicked,0,45299.92083333,30206.43,11193.6475,5719.99416667,13292.78916667,0,0,0.0,0,650-700
CUST0079,28,Female,15-25 LPA,Unemployed,Hyderabad,655,No Loans,21.19,1,0,Personal Loan,928495,1,0,11,15,1,Ignored,0,73745.25916667,51234.11166667,17331.9725,9653.6325,24248.50666667,2,15,0.0,0,650-700
CUST0080,34,Female,6-10 LPA,Student,Kolkata,723,1-2 Loans,52.17,1,1,,0,1,1424030,9,19,0,Ignored,0,32057.35833333,22743.5875,7682.47333333,3566.37833333,11494.73416667,4,40,0.0,0,700-750
CUST0081,43,Male,3-6 LPA,Salaried,Bengaluru,708,1-2 Loans,30.3,1,1,,0,1,0,10,9,0,Accepted,0,26233.885,18853.67916667,6339.13916667,3162.4975,9352.04,1,15,0.0,0,700-750
CUST0082,60,Female,<3 LPA,Self-Employed,Delhi,624,1-2 Loans,58.6,1,0,Personal Loan,146000,1,1450176,13,21,1,Clicked,0,19652.97833333,15021.24,5516.7725,2490.105,7014.36166667,0,0,0.0,0,580-650
CUST0083,41,Female,<3 LPA,Salaried,Hyderabad,686,3-5 Loans,5.13,1,1,,0,0,0,5,12,0,Clicked,0,20521.68666667,13956.32166667,5150.20583333,1605.14333333,7200.97333333,2,30,0.0,0,650-700
CUST0084,36,Female,3-6 LPA,Salaried,Bengaluru,654,1-2 Loans,6.11,1,1,,0,0,0,5,23,0,Ignored,1,29430.04166667,19391.4775,6616.41833333,3324.5675,9450.49333333,0,0,0.0,0,650-700
CUST0085,65,Female,3-6 LPA,Self-Employed,Kolkata,620,6+ Loans,50.43,1,1,Auto Loan,1064776,0,0,13,24,0,Ignored,0,41467.495,32615.84083333,12818.53333333,5754.39416667,14042.91083333,4,45,0.0,1,580-650
CUST0086,38,Other,6-10 LPA,Self-Employed,Ahmedabad,721,1-2 Loans,11.3,1,1,Home Loan,3058211,0,0,5,17,1,Ignored,0,55027.25083333,37983.03666667,12717.5475,4374.305,20891.185,1,10,0.0,0,700-750
CUST0087,67,Female,6-10 LPA,Student,Ahmedabad,672,No Loans,10.61,1,0,Home Loan,7885916,0,0,14,19,0,Clicked,0,36897.66583333,25516.0975,9020.18666667,3963.13,12532.78083333,0,0,0.0,0,650-700
CUST0088,44,Female,3-6 LPA,Salaried,Bengaluru,655,3-5 Loans,23.78,1,1,,0,1,0,7,20,0,Ignored,1,47228.70166667,33507.81,11588.42416667,5441.91833333,16477.46666667,1,5,0.0,0,650-700
CUST0089,46,Female,<3 LPA,Salaried,Hyderabad,628,1-2 Loans,54.48,1,1,Personal Loan,961938,0,1028398,11,18,1,Clicked,0,20067.79416667,15670.7475,5194.03166667,2119.3375,8357.37666667,3,35,0.0,1,580-650
CUST0090,45,Male,<3 LPA,Salaried,Mumbai,618,1-2 Loans,50.8,1,1,Personal Loan,424226,0,0,8,21,0,Ignored,0,16450.37666667,12538.93,4757.32583333,2023.3475,5758.25666667,2,75,0.0,0,580-650
CUST0091,65,Male,15-25 LPA,Salaried,Delhi,799,1-2 Loans,6.35,1,1,,0,0,0,6,17,0,Ignored,0,173031.5325,118617.91166667,41829.68666667,16067.83833333,60720.38666667,2,15,0.0,0,750+
CUST0092,61,Female,3-6 LPA,Salaried,Delhi,700,No Loans,20.4,1,0,Personal Loan,116476,0,0,20,21,2,Ignored,0,26856.6575,17954.90666667,5935.07583333,3165.3125,8854.51666667,1,10,0.0,0,700-750
CUST0093,49,Female,10-15 LPA,Self-Employed,Ahmedabad,614,1-2 Loans,3.14,1,1,,0,1,0,10,19,0,Accepted,0,96857.74083333,68693.95083333,22020.59416667,11542.6675,35130.68833333,1,45,0.0,0,580-650
CUST0094,35,Female,15-25 LPA,Salaried,Ahmedabad,697,3-5 Loans,14.31,1,0,,0,0,0,10,23,0,Ignored,0,148807.9575,99338.96333333,34094.36916667,13291.30166667,51953.29333333,1,60,0.0,0,650-700
CUST0095,65,Male,6-10 LPA,Student,Mumbai,743,No Loans,19.22,1,1,,0,1,0,12,22,0,Ignored,0,37182.48916667,23871.91833333,8434.04916667,3386.9725,12050.89333333,0,0,0.0,0,700-750
CUST0096,21,Female,15-25 LPA,Retired,Pune,690,1-2 Loans,34.42,1,1,,0,1,0,8,12,0,Ignored,0,96552.97833333,72637.03916667,23090.83583333,13113.68166667,36432.5225,0,0,0.0,0,650-700
CUST0097,45,Male,3-6 LPA,Self-Employed,Hyderabad,762,3-5 Loans,17.03,1,1,,0,1,0,10,22,0,Accepted,0,51403.33666667,34945.61916667,12985.78666667,5213.18333333,16746.64916667,2,30,0.0,0,750+
CUST0098,27,Male,25+ LPA,Student,Ahmedabad,587,6+ Loans,40.39,1,1,,0,0,0,8,25,0,Clicked,0,134790.93166667,101672.19416667,32728.78166667,16303.58166667,52639.83416667,2,25,0.0,0,580-650
CUST0099,29,Female,<3 LPA,Self-Employed,Ahmedabad,560,1-2 Loans,36.92,1,0,Personal Loan,411240,1,0,13,19,0,Ignored,0,25375.54833333,20320.835,6866.09083333,2527.01416667,10927.73166667,5,65,0.083333,0,<580
CUST0100,44,Female,<3 LPA,Salaried,Ahmedabad,695,1-2 Loans,21.13,1,0,Home Loan,2822770,0,510259,9,20,0,Accepted,0,24020.63,16016.5925,6245.6975,2740.62166667,7030.2725,0,0,0.0,0,650-700
CUST0101,21,Female,10-15 LPA,Salaried,Delhi,696,1-2 Loans,31.82,1,1,Home Loan,7686336,1,502336,6,22,0,Ignored,1,103338.5225,67730.32166667,23468.3725,11363.16083333,32898.78833333,1,5,0.0,0,650-700
CUST0102,64,Female,25+ LPA,Salaried,Hyderabad,479,6+ Loans,57.69,1,1,,0,0,0,15,23,0,Accepted,0,249001.7475,218667.405,72541.4775,23511.93166667,122614.0,2,90,0.0,1,<580
CUST0103,28,Male,15-25 LPA,Self-Employed,Kolkata,642,3-5 Loans,15.54,1,0,Home Loan,5199629,0,0,10,24,0,Clicked,0,184616.65,130649.4475,43269.20666667,21823.46916667,65556.7725,0,0,0.0,0,580-650
CUST0104,44,Female,<3 LPA,Student,Hyderabad,619,No Loans,29.4,1,0,Auto Loan,1325603,0,0,15,24,1,Ignored,0,8843.09666667,6238.02916667,2154.2575,1059.17083333,3024.6,2,30,0.0,0,580-650
CUST0105,31,Male,3-6 LPA,Salaried,Bengaluru,596,1-2 Loans,39.69,1,1,,0,1,0,7,19,0,Ignored,0,30351.60666667,24374.25916667,7653.41916667,2963.50583333,13757.33583333,1,5,0.0,0,580-650
CUST0106,37,Female,25+ LPA,Student,Mumbai,619,1-2 Loans,33.33,1,1,,0,1,0,7,20,2,Accepted,0,164475.74666667,117572.78666667,36730.74833333,14632.79916667,66209.2375,1,15,0.0,0,580-650
CUST0107,28,Female,3-6 LPA,Self-Employed,Pune,715,3-5 Loans,35.62,1,1,,0,0,0,10,25,1,Clicked,0,48306.5675,33362.57416667,10963.61416667,4916.98583333,17481.97583333,2,65,0.0,1,700-750
CUST0108,55,Female,10-15 LPA,Salaried,Ahmedabad,618,1-2 Loans,18.8,1,1,Auto Loan,418326,1,1656336,16,20,0,Clicked,0,101173.24916667,78692.59,24583.5225,13007.325,41101.7425,3,40,0.0,0,580-650
CUST0109,55,Female,15-25 LPA,Retired,Ahmedabad,621,3-5 Loans,20.99,1,0,,0,1,1681092,9,23,0,Clicked,1,87530.6625,64602.32833333,22046.60833333,10455.255,32100.46333333,0,0,0.0,1,580-650
CUST0110,53,Female,6-10 LPA,Salaried,Hyderabad,582,6+ Loans,37.11,1,1,,0,1,1160929,11,10,0,Ignored,0,60429.03,45662.65333333,17399.59333333,6636.94666667,21626.11583333,1,5,0.0,0,580-650
CUST0111,25,Female,3-6 LPA,Salaried,Pune,756,No Loans,60.64,1,1,Personal Loan,162768,0,0,9,23,3,Accepted,0,48162.8875,34883.6825,14074.78666667,3770.76333333,17038.13,0,0,0.0,0,750+
CUST0112,62,Male,6-10 LPA,Self-Employed,Ahmedabad,706,No Loans,14.63,1,0,,0,1,0,12,10,2,Ignored,0,79668.56166667,50288.62666667,18076.645,5905.365,26306.6175,0,0,0.0,0,700-750
